Comment,Designator,Footprint,LCSC
"cap_10uF_10v_0402","C12","Bonsai_C4:C_0402_1005Metric","C19702"
"10u","C18","Bonsai_C4:C_0805","C90544"
"100n","C19,C20,C21,C22,C23","Bonsai_C4:C_0805","C495959"
"cap_1uF_10v_0402","C4,C6","Bonsai_C4:C_0402_1005Metric","C52923"
"cap_4.7uF_10v_0402","C5,C15","Bonsai_C4:C_0402_1005Metric","C23733"
"cap_100nF_16v_0402","C7,C10,C11,C13,C14,C16,C17","Bonsai_C4:C_0402_1005Metric","C1525"
"cap_20pF_50v_0402","C8,C9","Bonsai_C4:C_0402_1005Metric","C1554"
"PMEG2010AEB","D1,D4","Bonsai_C4:D_SOD-523","C282563"
"SMF5.0A","D2","Bonsai_C4:D_SOD-123FL","C193402"
"1N4148","D3","Bonsai_C4:D_SOD-523","C414017"
"SMD-LED-WHITE_0402_","D6","Bonsai_C4:LED_0402","C74342"
"D","Da1,Db1,Dc1,Dd1,De1,Da2,Db2,Dc2,Dd2,De2,Da3,Db3,Dc3,Dd3,De3,Da4,Db4,Dc4,Dd4,De4,Da5,Db5,Dc5,Dd5,Da6,Db6,Dc6,Dd6,De6,Da7,Dd7","Diode_SMD:D_SOD-123","C81598"
"SMD-PPTC-500MA_0805_","F1","Bonsai_C4:F0805","C66452"
"fb_0402_26ohm","FB1","Bonsai_C4:R_0402_1005Metric","C668229"
"USB_EXT","J1","Connector_USB:USB_C_Receptacle_HRO_TYPE-C-31-M-12","C165948"
"USB_Link","J2","Connector_USB:USB_C_Receptacle_HRO_TYPE-C-31-M-12","C165948"
"Conn_01x06","J3","marbastlib-various:PogoPin_1x06_P2.5",""
"PAD_SQUARE_1MM","J4,J5,J6,J7,J9","Bonsai_C4:PAD_SQUARE_1MM",""
"SolderJumper_2_Open","JP1,JP2","Jumper:SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm",""
"SolderJumper_3_Open","JP3,JP4,JP6","Jumper:SolderJumper-3_P1.3mm_Open_RoundedPad1.0x1.5mm_NumberLabels",""
"SolderJumper_3_Bridged12","JP5","Jumper:SolderJumper-3_P1.3mm_Bridged12_RoundedPad1.0x1.5mm",""
"MX_SK6812MINI-E","LEDa1,LEDc1,LEDe1,LEDa2,LEDc2,LEDe2,LEDa3,LEDc3,LEDe3,LEDa4,LEDc4,LEDe4,LEDa5,LEDc5,LEDe5,LEDa6,LEDc6,LEDa7","marbastlib-mx:LED_MX_6028R-FLIPPED","C5149201"
"MX_SK6812MINI-E","LEDb1,LEDd1,LEDb2,LEDd2,LEDb3,LEDd3,LEDb4,LEDd4,LEDb5,LEDd5,LEDb6,LEDd6,LEDd7","marbastlib-mx:LED_MX_6028R","C5149201"
"Speaker","LS1","Bonsai_C4:Buzzer_Mallory_AST1109MLTRQ",""
"2mm_mounting_hole","MH1,MH2,MH3,MH4","Bonsai_C4:MountingHole_2mm",""
"MUN5311DW1T1G","Q1,Q2","Bonsai_C4:SOT-363_SC-70-6_SC-88","C152542"
"5.1k","R1,R2","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","C104384"
"r_470_0402_1p","R10","Bonsai_C4:R_0402_1005Metric","C25117"
"r_100k_0402_1p","R6,R11","Bonsai_C4:R_0402_1005Metric","C25741"
"r_4.7k_0402_1p","R7","Bonsai_C4:R_0402_1005Metric","C25900"
"r_10k_0402_1p","R8","Bonsai_C4:R_0402_1005Metric","C25744"
"r_75_0402_1p","R9,R12","Bonsai_C4:R_0402_1005Metric","C25133"
"MX_stab","S2","marbastlib-mx:STAB_MX_P_2.25u",""
"Reset","SW2","Bonsai_C4:SW2-SMD-2.5X3.0X1.6MM","C231330"
"MX_SW_HS","SWa1,SWa2,SWb2,SWc2,SWd2,SWa3,SWb3,SWc3,SWd3,SWa4,SWb4,SWc4,SWd4,SWa5,SWb5,SWc5,SWd5,SWa6,SWb6,SWc6,SWd6,SWa7,SWd7","marbastlib-mx:SW_MX_HS_1u","C5184526"
"MX_SW_HS","SWb1","marbastlib-mx:SW_MX_HS_1.5u","C5184526"
"MX_SW_HS","SWc1","marbastlib-mx:SW_MX_HS_1.75u","C5184526"
"MX_SW_HS","SWd1,SWe1,SWe2,SWe3,SWe4,SWe6","marbastlib-mx:SW_MX_HS_1.25u","C5184526"
"TS3A27518ERTW","U1","Package_DFN_QFN:WQFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm","C2651937"
"SRV05-4","U2","Bonsai_C4:SOT-23-6","C85364"
"STM32F411CEU6","U3","Bonsai_C4:QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm_ThermalVias","C60420"
"MB85RS64PNF-G-JNERE1","U4","Bonsai_C4:SOP-8_3.9x4.9mm_P1.27mm","C8741"
"AAP2967-33VIR1","U5","Bonsai_C4:SOT-23-5","C370742"
"SN74LV1T34DCKR","U6,U8","Bonsai_C4:SOT-353_SC-70-5","C78541"
"W25Q128JVSIQ","U7","Bonsai_C4:SOIC-8_5.23x5.23mm_P1.27mm","C97521"
"SMD-CRYSTAL-8MHZ-20PF-10PPM_2P-5.0X3.2MM_","Y1","Bonsai_C4:X2-SMD-5.0X3.2X1.3MM","C115962"
