Designator,Footprint,Quantity,Value,LCSC Part #
C1,0402,1,cap_1uF_10v_0402,C52923
C10,0402,1,cap_100nF_16v_0402,C1525
C11,0402,1,cap_100nF_16v_0402,C1525
"C12, C19, C20, C21, C22, C23, C6, C7",C_0805,8,100n,C495959
C13,0402,1,cap_100nF_16v_0402,C1525
C14,0402,1,cap_100nF_16v_0402,C1525
C15,0402,1,cap_4.7uF_10v_0402,C23733
C16,0402,1,cap_100nF_16v_0402,C1525
C17,0402,1,cap_100nF_16v_0402,C1525
C18,C_0805,1,10u,C90544
C2,0402,1,cap_100nF_16v_0402,C1525
C3,0402,1,cap_1uF_10v_0402,C52923
C4,0402,1,cap_10uF_10v_0402,C19702
C5,0402,1,cap_4.7uF_10v_0402,C23733
C8,0402,1,cap_20pF_50v_0402,C1554
C9,0402,1,cap_20pF_50v_0402,C1554
D1,D_SOD-523,1,PMEG2010AEB,C282563
D3,0603,1,LED,C72041
D4,LED_0402,1,SMD-LED-WHITE_0402_,C74342
"Da1, Da2, Da3, Da4, Da5, Da6, Da7, Db1, Db2, Db3, Db4, Db5, Db6, Dc1, Dc2, Dc3, Dc4, Dc5, Dc6, Dd1, Dd2, Dd3, Dd4, Dd5, Dd6, Dd7, De1, De2, De3, De4, De6",D_SOD-123,31,D,C81598
De5,D_SOD-523,1,1N4148,C68948
F1,F1206,1,3A,C89656
F2,F1206,1,1.5A,C89655
FB1,0402,1,fb_0402_26ohm,C668229
FB2,0402,1,fb_0402_26ohm,C668229
FB3,0402,1,fb_0402_26ohm,C668229
FB4,0402,1,fb_0402_26ohm,C668229
"H1, H2, H3",MountingHole_2.2mm_M2_Pad_Via,3,M2,
J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_EXT,C165948
J2,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_Conn_1,C165948
J3,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_Link,C165948
J4,PinHeader_1x06_P2.54mm_Vertical,1,Conn_01x06,
J5,CON_TC2030_outlined,1,JTAG_TC2030,
J6,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_Conn_2,C165948
"JP1, JP2",SolderJumper-3_P1.3mm_Open_RoundedPad1.0x1.5mm_NumberLabels,2,VBUS_SEL,
"JP3, JP4, JP7, JP8",SolderJumper-3_P1.3mm_Open_RoundedPad1.0x1.5mm_NumberLabels,4,SPI/I2C,
JP6,SolderJumper-3_P1.3mm_Open_RoundedPad1.0x1.5mm_NumberLabels,1,MUX_SEL,
"LEDa1, LEDa2, LEDa3, LEDa4, LEDa5, LEDa6, LEDa7, LEDc2, LEDc3, LEDc4, LEDc5, LEDc6, LEDe1, LEDe2, LEDe3, LEDe4, LEDe5",LED_MX_6028R,17,MX_SK6812MINI-E,C5149201
"LEDb1, LEDb2, LEDb3, LEDb4, LEDb5, LEDb6, LEDd3, LEDd4, LEDd5, LEDd6, LEDd7",LED_MX_6028R_Flipped,11,MX_SK6812MINI-E,C5149201
