Designator,Mid X,Mid Y,Rotation,Layer
C1,64.8,-44.1,90.0,bottom
C10,103.443,-37.263,45.0,bottom
C11,104.143,-37.963,45.0,bottom
C12,78.8,-88.3,90.0,bottom
C13,95.843,-36.963,180.0,bottom
C14,107.7,-47.9,0.0,bottom
C15,103.8,-52.3,0.0,bottom
C16,106.643,-40.463,45.0,bottom
C17,90.743,-47.663,225.0,bottom
C18,84.2925,-71.098,90.0,bottom
C19,172.2425,-74.398,270.0,bottom
C2,131.0,-42.9,180.0,bottom
C20,136.05,-96.5,90.0,bottom
C21,165.9425,-110.998,270.0,bottom
C22,107.1925,-110.948,90.0,bottom
C23,171.6,-134.5,270.0,bottom
C3,69.8,-44.1,90.0,bottom
C4,127.7,-45.9,270.0,bottom
C5,103.8,-51.3,0.0,bottom
C6,168.3925,-94.598,90.0,bottom
C7,104.15,-132.35,90.0,bottom
C8,114.443,-44.263,180.0,bottom
C9,112.543,-44.263,0.0,bottom
D3,69.83125,-40.9,180.0,bottom
D4,123.5,-40.3,180.0,bottom
Da1,80.8925,-67.248,90.0,bottom
Da2,99.9925,-67.248,90.0,bottom
Da3,118.9925,-67.248,90.0,bottom
Da4,138.0925,-67.248,90.0,bottom
Da5,157.0925,-67.248,90.0,bottom
Da6,164.1425,-68.548,0.0,bottom
Da7,164.1425,-70.848,0.0,bottom
Db1,85.6925,-86.298,90.0,bottom
Db2,109.505,-86.298,90.0,bottom
Db3,128.7455,-86.298,90.0,bottom
Db4,147.605,-86.298,90.0,bottom
Db5,166.1425,-86.298,90.0,bottom
Db6,168.48,-86.298,90.0,bottom
Dc1,87.9925,-105.298,90.0,bottom
Dc2,114.2925,-105.298,90.0,bottom
Dc3,133.533,-105.298,90.0,bottom
Dc4,152.583,-105.298,90.0,bottom
Dc5,170.7925,-105.298,90.0,bottom
Dc6,173.1425,-105.298,90.0,bottom
Dd1,82.6425,-124.398,90.0,bottom
Dd2,103.9785,-124.398,90.0,bottom
Dd3,123.6,-124.398,90.0,bottom
Dd4,142.269,-124.398,90.0,bottom
Dd5,161.4925,-124.398,90.0,bottom
Dd6,180.3755,-124.398,90.0,bottom
Dd7,182.7425,-124.398,90.0,bottom
De1,85.1,-141.8,180.0,bottom
De2,107.343,-142.998,90.0,bottom
De3,131.1555,-142.998,90.0,bottom
De4,155.349,-142.998,90.0,bottom
De5,127.7,-44.1,0.0,bottom
De6,159.2425,-136.948,0.0,bottom
F1,75.5,-44.603,90.0,bottom
F2,175.1,-44.0,270.0,bottom
FB1,87.4,-39.25,270.0,bottom
FB2,165.0,-39.2,270.0,bottom
FB3,197.1,-141.85,180.0,bottom
FB4,192.25,-41.4,180.0,bottom
J1,81.425,-35.6235,0.0,bottom
J2,171.2,-35.64,0.0,bottom
J3,196.56,-135.75,270.0,bottom
J4,65.9,-71.75,180.0,bottom
J6,191.75,-47.5,270.0,bottom
LEDa1,72.58,-55.118,0.0,bottom
LEDa2,91.6305,-55.118,0.0,bottom
LEDa3,110.6805,-55.118,0.0,bottom
LEDa4,129.7305,-55.118,0.0,bottom
LEDa5,148.7805,-55.118,0.0,bottom
LEDa6,167.8305,-55.118,0.0,bottom
LEDa7,186.8805,-55.118,0.0,bottom
LEDb1,77.31525,-74.138,0.0,bottom
LEDb2,101.155,-74.168,0.0,bottom
LEDb3,120.205,-74.168,0.0,bottom
LEDb4,139.255,-74.168,0.0,bottom
LEDb5,158.305,-74.168,0.0,bottom
LEDb6,177.355,-74.168,0.0,bottom
LEDc1,84.5,-95.0,45.0,bottom
LEDc2,105.9175,-93.218,0.0,bottom
LEDc3,124.968,-93.218,0.0,bottom
LEDc4,144.018,-93.218,0.0,bottom
LEDc5,163.068,-93.218,0.0,bottom
LEDc6,182.118,-93.218,0.0,bottom
LEDd1,71.92,-114.265,10.0,bottom
LEDd2,96.304,-113.884,0.0,bottom
LEDd3,115.4425,-112.268,0.0,bottom
LEDd4,134.4925,-112.268,0.0,bottom
LEDd5,153.5425,-112.268,0.0,bottom
LEDd6,172.5925,-112.268,0.0,bottom
LEDd7,191.643,-112.268,0.0,bottom
LEDe1,74.96125,-131.318,0.0,bottom
LEDe2,98.77375,-131.318,0.0,bottom
LEDe3,122.58625,-131.318,0.0,bottom
LEDe4,146.39875,-131.318,0.0,bottom
LEDe5,179.73625,-131.318,0.0,bottom
LEDs1,185.9425,-128.098,270.0,bottom
LEDs10,76.2,-69.8,90.0,bottom
LEDs11,76.2,-88.9,90.0,bottom
LEDs12,76.2,-107.7,90.0,bottom
LEDs13,76.2,-127.0,90.0,bottom
LEDs14,88.4025,-136.5,180.0,bottom
LEDs15,112.6025,-136.5,180.0,bottom
LEDs16,136.3975,-136.6,180.0,bottom
LEDs17,168.0025,-136.3,180.0,bottom
LEDs2,178.5425,-111.798,280.0,bottom
LEDs3,173.0925,-89.948,275.0,bottom
LEDs4,171.5925,-69.998,285.0,bottom
LEDs5,161.4925,-56.048,0.0,bottom
LEDs6,142.3925,-56.048,0.0,bottom
LEDs7,123.3925,-56.048,0.0,bottom
